query_id,text,hours,start_lat,start_lon,start_raw,interests_set
Q0001,"Маршрут для прогулки с детской коляской на 2 часа от парка Кулибина. Главное, чтобы без лестниц.",2.0,,,"Маршрут для прогулки с детской коляской на 2 часа от парка Кулибина. Главное, чтобы без лестниц.","[""park""]"
Q0002,"привет, есть пара часов и мы на варварке. пакажи где у вас тут савременное искуство.",,56.3255455,44.0076978,"привет, есть пара часов и мы на варварке. пакажи где у вас тут савременное искуство.",[]
Q0003,Ищу дом с грифонами на Большой Покровской. Сколько времени займет прогулка до него от пл. Лядова и что еще рядом?,,56.3240676,44.0005071,Ищу дом с грифонами на Большой Покровской. Сколько времени займет прогулка до него от пл. Лядова и что еще рядом?,"[""park""]"
Q0004,Центр. 1 час. Удиви.,1.0,,,Центр. 1 час. Удиви.,[]
Q0005,"Я в Сормово, у Светлоярского парка. Есть ли тут что-то историческое или только в центр ехать? Часа 3 есть.",,,,"Я в Сормово, у Светлоярского парка. Есть ли тут что-то историческое или только в центр ехать? Часа 3 есть.","[""park""]"
Q0006,"Идеальное место, чтобы сделать предложение с видом на закат. Заложи на прогулку часа полтора.",1.5,56.3321888,44.0101974,"Идеальное место, чтобы сделать предложение с видом на закат. Заложи на прогулку часа полтора.","[""park""]"
Q0007,"Hello! We are at 56.328, 44.005. Need a 2-hour walking route. Интересует old architecture и a good place for coffee.",,56.328,44.005,"56.328,44.005",[]
Q0008,"Прогулка на 3 часа от Ильинки. Хочу максимум истории, но категорически без церквей и монастырей.",3.0,56.3277185,43.9919362,"Прогулка на 3 часа от Ильинки. Хочу максимум истории, но категорически без церквей и монастырей.","[""park""]"
Q0009,"Я фотограф, приезжаю на один день. Мне нужен 8-часовой маршрут, который охватит и купеческую Рождественскую, и брутальные промзоны, и тихие дворики с деревянными домами. Старт от вокзала.",,56.3228758,43.9461745,"Я фотограф, приезжаю на один день. Мне нужен 8-часовой маршрут, который охватит и купеческую Рождественскую, и брутальные промзоны, и тихие дворики с деревянными домами. Старт от вокзала.",[]
Q0010,"40 минут. Я у цирка. Что можно успеть посмотреть, пока жду начала представления?",0.6666666666666666,,,"40 минут. Я у цирка. Что можно успеть посмотреть, пока жду начала представления?",[]
Q0011,Нужен маршрут на 2 часа для прогулки с велосипедом. Старт от набережной Федоровского. Желательно по велодорожкам.,2.0,56.3275208,43.9913023,Нужен маршрут на 2 часа для прогулки с велосипедом. Старт от набережной Федоровского. Желательно по велодорожкам.,"[""park"", ""view""]"
Q0012,"Мы хотим устроить небольшой пикник. Посоветуй маршрут на 2.5 часа, который закончится в красивом парке с хорошим газоном. Старт от ул. Алексеевской.",2.5,56.3270017,43.9834169,"Мы хотим устроить небольшой пикник. Посоветуй маршрут на 2.5 часа, который закончится в красивом парке с хорошим газоном. Старт от ул. Алексеевской.","[""park""]"
Q0013,"Покажи мне Нижний Новгород глазами айтишника. 3 часа, старт от IT-кампуса 'Неймарк'. Интересуют техно-парки, современные пространства и хороший кофе.",3.0,,,"Покажи мне Нижний Новгород глазами айтишника. 3 часа, старт от IT-кампуса 'Неймарк'. Интересуют техно-парки, современные пространства и хороший кофе.","[""coffee""]"
Q0014,"Я тут проездом, есть всего 90 минут между поездами на Московском. Куда можно сбегать, чтобы составить впечатление о городе?",1.5,56.3215643,43.9450333,"Я тут проездом, есть всего 90 минут между поездами на Московском. Куда можно сбегать, чтобы составить впечатление о городе?",[]
Q0015,гастро-тур на 4 часа. старт с покровки. хочу попробовать местные специалитеты и закончить в баре с хорошими настойками.,4.0,,,гастро-тур на 4 часа. старт с покровки. хочу попробовать местные специалитеты и закончить в баре с хорошими настойками.,[]
Q0016,Что можно посмотреть на Автозаводе? Слышал про 'соцгород'. Расскажи и покажи маршрут на 3 часа.,3.0,,,Что можно посмотреть на Автозаводе? Слышал про 'соцгород'. Расскажи и покажи маршрут на 3 часа.,[]
Q0017,"2 часа. старт от 56.330, 44.010. хачу найти все заброшки или полуразрушенные здания в этом районе.",2.0,56.33,44.01,"56.33,44.01",[]
Q0018,"У меня плохое настроение. Посоветуй тихий и умиротворяющий маршрут на полтора часа где-нибудь в центре, чтобы можно было подумать.",1.5,,,"У меня плохое настроение. Посоветуй тихий и умиротворяющий маршрут на полтора часа где-нибудь в центре, чтобы можно было подумать.",[]
Q0019,Хотим погулять по ночному городу. 2 часа. Нужны самые красивые места с подсветкой. Старт от пл. Народного единства.,2.0,56.3240676,44.0005071,Хотим погулять по ночному городу. 2 часа. Нужны самые красивые места с подсветкой. Старт от пл. Народного единства.,[]
Q0020,"Я архитектор. Интересует нижегородский модерн. 4 часа, старт от ул. Короленко.",4.0,56.3270017,43.9834169,"Я архитектор. Интересует нижегородский модерн. 4 часа, старт от ул. Короленко.","[""architecture""]"
Q0021,Маршрут для бега на 10 км. Старт от Гребного канала. Главное – красивые виды и минимум пересечений с дорогами.,,56.3250165,44.050859,Маршрут для бега на 10 км. Старт от Гребного канала. Главное – красивые виды и минимум пересечений с дорогами.,[]
Q0022,"Мне 70 лет, ходить тяжело. Посоветуй очень короткую прогулку, минут на 40, от Театра Драмы. С лавочками по пути.",,,,"Мне 70 лет, ходить тяжело. Посоветуй очень короткую прогулку, минут на 40, от Театра Драмы. С лавочками по пути.","[""park""]"
Q0023,"У нас девичник. 3 часа. Нужны красивые фото-локации, инстаграмные кафе и чтобы закончить в месте с хорошими коктейлями. Старт от Звездинки.",3.0,56.3163374,43.9948953,"У нас девичник. 3 часа. Нужны красивые фото-локации, инстаграмные кафе и чтобы закончить в месте с хорошими коктейлями. Старт от Звездинки.","[""coffee""]"
